DATAFLOW,LAST UPDATE,freq,age,indic_he,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2012,20054.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2013,20377.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2014,20627.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2015,20347.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2016,19994.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2017,19813.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2018,19589.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2019,19133.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2020,16135.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2021,15908.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2012,24632.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2013,24992.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2014,25602.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2015,25534.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2016,25685.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2017,25477.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2018,25246.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2019,25305.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2020,21859.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2021,21790.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2012,15346.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2013,15173.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2014,15156.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2016,14491.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2015,10219.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2016,10422.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2017,10435.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2018,10470.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2019,10340.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2020,8979.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2021,9519.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2012,17747.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2013,17315.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2014,17202.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2015,16916.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2016,16806.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2017,16423.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2018,16161.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2020,14322.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FI,2021,14368.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2012,16763.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2013,16633.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2014,16490.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2015,16344.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2016,18783.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2017,18608.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2018,18553.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2019,18298.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2020,16080.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,FR,2021,16515.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2012,15557.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2013,15744.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2014,15688.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2015,16036.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2016,16175.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2017,16022.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2018,16176.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2019,16145.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HR,2020,13007.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2012,20116.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2013,20201.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2014,20342.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2015,20008.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2016,19941.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2017,19449.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2018,19278.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2019,19051.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2020,14674.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,HU,2021,12455.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IE,2015,13488.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2014,11881.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2015,11196.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2016,11507.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2017,11452.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IS,2019,10608.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2012,12878.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2013,12376.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2014,12003.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2015,11856.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2016,11670.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2017,11597.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,IT,2018,9161.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2015,5344.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2016,5719.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2017,4125.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2018,4094.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2019,5308.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2020,5732.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LI,2021,5643.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LT,2012,23926.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LT,2013,23538.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LT,2014,23314.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LT,2015,23445.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,LT,2016,23230.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ME,2019,11682.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2012,15012.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2013,14912.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2014,15609.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2015,16229.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2016,15365.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2017,15479.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2018,15016.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,MT,2019,14559.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2012,11862.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2018,8975.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2019,8756.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2020,7669.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NL,2021,7779.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2012,17160.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2013,16924.4,b
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2014,16846.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2015,16822.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2016,22060.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2017,21649.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2018,16348.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2019,16245.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2020,14800.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,NO,2021,15448.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2012,16221.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2013,16699.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2014,17134.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2015,16595.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2016,17923.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2017,18151.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2018,17301.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2019,16824.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2020,12625.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PL,2021,14509.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2012,8599.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2013,8564.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2014,8453.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2015,8492.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2018,8308.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2019,8673.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2020,7391.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,PT,2021,7702.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,RO,2012,22092.1,
