DATAFLOW,LAST UPDATE,freq,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,CZ,2020,6040.57,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2012,8389.05,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2013,8228.30,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2014,8436.56,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2015,8864.53,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2016,8536.19,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2017,8325.64,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2018,8669.43,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2019,8119.30,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DE,2020,8310.27,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2012,6456.78,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2013,6613.58,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2014,6907.56,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2015,5865.31,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2016,4656.92,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2017,4503.89,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2018,4339.80,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,DK,2019,4715.67,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2012,9725.70,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2013,10296.85,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2014,9462.91,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2015,9890.28,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2016,9074.41,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2017,8724.40,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2018,9720.42,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2019,9615.20,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2020,9634.22,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EE,2021,8471.77,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2012,10860.38,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2013,10729.17,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2014,11229.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2015,9312.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2016,9787.44,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2017,8061.98,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2018,7985.78,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EL,2019,7399.30,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2012,10494.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2013,9773.59,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2014,8343.36,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2015,7673.03,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2016,7466.12,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2017,6903.72,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2018,7022.47,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2019,7169.89,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,ES,2020,7176.28,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2012,9018.31,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2013,8932.16,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2014,8524.68,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2015,8116.69,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2016,7710.91,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2017,7176.48,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2018,6934.57,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU27_2020,2019,6981.68,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2012,8740.78,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2013,8736.30,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2014,8368.52,
