DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2017,78.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2018,78.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2019,78.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2020,77.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2021,75.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2010,84.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2011,85.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2012,84.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2013,85.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2014,85.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2015,85.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2016,85.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2017,85.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2018,85.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2019,85.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2020,85.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2021,85.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2010,83.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2011,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2012,83.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2013,85.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2014,84.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2015,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2016,84.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2017,84.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2018,84.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2019,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2020,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2021,83.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2010,80.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2011,81.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2012,81.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2013,81.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2014,82.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2015,81.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2016,82.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2017,82.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2018,82.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2019,82.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2020,81.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2021,80.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2010,83.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2011,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2012,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2013,83.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2014,83.6,
